DEMO_Org,DEMO_meeting_remote,DEMO_Dept,OBSV_PreC_Location_A_primryoffice,OBSV_PreC_Location_B_officeother,OBSV_PreC_Location_C_client,OBSV_PreC_Location_D_WFH,OBSV_PreC_Location_E_publicspace,OBSV_PreC_Location_F_transit,OBSV_PreC_Location_G_other,OBSV_Now_Interact_Work_within_org,OBSV_PreC_meeting_A_inperson,OBSV_PreC_meeting_B_hyrbid,OBSV_PreC_meeting_C_remote,OBSV_PreC_interative_A_inperson,OBSV_PreC_interative_B_remote,OBSV_same_space_count_A_1,OBSV_same_space_count_B_2n3,OBSV_same_space_count_C_4n9,OBSV_same_space_count_D_10p,OBSV_PreC_meetingsize0ffice_A_1,OBSV_PreC_meetingsize0ffice_B_2n3,OBSV_PreC_meetingsize0ffice_C_4n9,OBSV_PreC_wiOffice_A_desk,OBSV_PreC_wiOffice_B_otherdeck,OBSV_PreC_wiOffice_C_meetingrm,OBSV_PreC_wiOffice_D_lobby,OBSV_PreC_wiOffice_E_speicaltyarea,OBSV_PreC_wiOffice_F_other,OBSV_PreC_space_A_InformalMtg,OBSV_PreC_space_B_FormalMtg,OBSV_PreC_5A_lost_layout,OBSV_PreC_5B_lost_looking,OBSV_PreC_5C_lost_perstech,OBSV_PreC_5D_lost_roomtech,OBSV_PreC_5E_lost_visitors,OBSV_PreC_5F_lost_noise,OBSV_PreC_5G_lost_comms,OBSV_PreC_5H_lost_ergo,OBSV_PreC_5I_lost_temp,OBSV_PreC_5J_lost_odor,OBSV_PreC_5K_lost_natlight,OBSV_PreC_5L_lost_indoorlight,PostC_impact_RankDifficult_A_MH,PostC_impact_RankDifficult_B_community,PostC_impact_RankDifficult_C_Communication,PostC_impact_RankDifficult_D_Tech,PostC_impact_RankDifficult_E_space,PostC_impact_RankDifficult_F_Environment,PostC_impact_shift_D_videoconf,PostC_impact_shift_E_innovate,DECSN_factors_E_commutelength,DECSN_factors_F_collabtools,DECSN_factors_G_concentrate,DECSN_factors_H_purpose,DECSN_factors_I_coworkerspresence,DECSN_factors_J_teampresence,DECSN_factors_K_socialevents,DECSN_factors_L_community,DECSN_factors_M_metorship,DECSN_factors_N_neighorhood,DECSN_factors_O_food,DECSN_factors_P_family,DECSN_factors_Q_leadership,PREF_space_A_focusedWk,PREF_Envr_Focus_1A_activity,PREF_Envr_Focus_1B_closure,PREF_Envr_Focus_1C_remote,PREF_Envr_Focus_1D_color,PREF_Envr_Focus_1E_light,PREF_Envr_Focus_1F_formality,PREF_Envr_Focus_1H_energy,PREF_Envr_Collab_2A_activity,PREF_Envr_Collab_2B_closure,PREF_Envr_Collab_2C_remote,PREF_Envr_Collab_2D_color,PREF_Envr_Collab_2E_light,PREF_Envr_Collab_2F_formality,PREF_Envr_Collab_2H_energy,PREF_features_A_chair,PREF_features_B_proximitry,PREF_features_C_concentration,PREF_features_D_privacy,PREF_features_E_noise,PREF_features_F_daylight,PREF_features_G_light,PREF_features_H_nature,PREF_features_I_Sychro,PREF_features_J_collabspace,PREF_features_K_temp,PREF_features_L_clean,PREF_features_M_lockers,PREF_features_N_events,PREF_features_O_food,PREF_features_Q_kitchen,PREF_features_R_gym,PREF_features_S_relax,PREF_features_T_greenspace,PREF_CollabSpace_A_tech,PREF_CollabSpace_B_software,PREF_CollabSpace_C_CollabTools,PREF_CollabSpace_D_furniture,PREF_CollabSpace_E_seating,PREF_CollabSpace_F_naturallight,PREF_CollabSpace_G_acoustics,SATSF_CollabSpace_A_Tech,SATSF_CollabSpace_B_software,SATSF_CollabSpace_C_CollabTools,SATSF_CollabSpace_D_furniture,SATSF_CollabSpace_E_seating,SATSF_CollabSpace_F_naturallight,SATSF_CollabSpace_G_acoustics,SATSF_HomeOffice_A_Tech,SATSF_HomeOffice_B_software,SATSF_HomeOffice_C_CollabTools,SATSF_HomeOffice_D_furniture,SATSF_HomeOffice_E_seating,SATSF_HomeOffice_F_naturallight,SATSF_HomeOffice_G_acoustics,SATSF_office_A_community,SATSF_office_B_designexcellence,SATSF_office_C_pride,SATSF_office_D_expressme,SATSF_office_E_control,SATSF_office_F_wellbeing,SATSF_office_G_myfamily,SATSF_office_H_customers,SATSF_office_I_orgcullture,SATSF_office_J_knowledgeshare,SATSF_office_K_planet,SATSF_facilitate_Home_1A_focus,SATSF_facilitate_Home_1B_inpersoncollab,SATSF_facilitate_Home_1C_virtualcollab,SATSF_facilitate_Office_2A_focus,SATSF_facilitate_Office_2B_inpersoncollab,SATSF_facilitate_Office_2C_virtualcollab,SATSF_facilitate_HomeTech_3A_virtualcollab,SATSF_facilitate_HomeTech_3B_inpersoncollab,SATSF_facilitate_HomeTech_3C_virtualcollab,SATSF_facilitate_OfficeTech_4A_virtualcollab,SATSF_facilitate_OfficeTech_4B_inpersoncollab,SATSF_facilitate_OfficeTech_4C_virtualcollab,WP_Featr_office_A_community,WP_Featr_office_B_designexcellence,WP_Featr_office_C_pride,WP_Featr_office_D_expressme,WP_Featr_office_E_control,WP_Featr_office_F_wellbeing,WP_Featr_office_G_myfamily,WP_Featr_office_H_customers,WP_Featr_office_I_oegculture,WP_Featr_office_J_knowledgeshare,WP_Featr_office_K_planet,Etc1_WLB_improved,Etc2_chooseWFH,Etc3_no_workstation,Etc4_justlaptop,Etc5_teamclose,Etc6_connected,Etc7_priorities,Etc8_WFK_efffective,OBSV_PreC_WFH_Days_Wk,DEMO_Tenure_PreC_employee,PREF_WFK_rate_home,PostC_impact_shift_A_focus,PostC_impact_shift_B_productive,PostC_impact_shift_C_collab,PostC_impact_shift_F_colleagueaccess,PostC_impact_shift_G_teammeetings,PostC_impact_shift_H_social,PostC_impact_shift_I_managersconnect,PostC_impact_shift_J_client,PostC_impact_shift_K_enjoy,DECSN_factors_A_noinpersonmtgs,DECSN_factors_B_healthwellness,DECSN_factors_C_WrkLifeSep,DECSN_factors_D_safety,OBSV_Now_WrkTimeA_Indiv_fract_vCollab,OBSV_PreC_meetingsize0ffice_D_10plus,PREF_space_B_inperson_collab,PREF_space_C_videoconf,PREF_space_D_impromptu,PREF_space_E_recharge,PREF_space_F_accessible,PREF_space_G_firstarrive
Org 3,No,Architect / Designer,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.1,0.75,NA,NA,NA,NA,NA,NA,0.1,0.3,0.4,0.37,0.0125,1,0.5,0.25,NA,your desk/office,your desk/office,0,5,0,10,30,60,15,0,30,0,0,10,1,5,2,4,0,3,NA,2.5,4,2.5,1,4,NA,1,1,4,4,1,0,4,5,Home,NA,5,2,5,5,2,6,7,9,10,9,10,3,10,Important,Important,Very unimportant,Neutral,Important,Neutral,Important,Neutral,NA,NA,Important,Important,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,Important,Important,Important,Neutral,Important,Important,Important,Satisfied,Satisfied,Neutral,Unsatisfied,Neutral,Satisfied,Unsatisfied,Satisfied,Very satisfied,Neutral,Very satisfied,Satisfied,Very satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Very satisfied,Dissatisfied,Satisfied,Neutral,Satisfied,Dissatisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Important,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Neutral,Strongly agree,Strongly agree,0,NA,0.6,0,0,4,0,NA,4,2.5,1,2.5,2.5,4,4,NA,0.75,0.2,"Enclosed room (meeting room, phone room)",Home,"Open space (cafe, lounge)",Anywhere outside the office building,Home,"Open space (cafe, lounge)"
Org 3,No,Architect / Designer,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.3,0.2,0.4,NA,NA,NA,NA,NA,someone else's desk/office,meeting room,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,4,3,NA,2.5,4,4,4,5,NA,5,4,5,4,5,0,4,5,"Semi-enclosed space (nook, booth)",1,2,2,8,7,1,8,6,8,3,8,7,1,8,Very important,Important,Very unimportant,Important,Important,Very important,Important,Important,NA,NA,Important,Very important,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,Very important,Very important,Important,Important,Important,Important,Important,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Very satisfied,Very satisfied,Neutral,Very satisfied,Neutral,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,Neutral,Very satisfied,Dissatisfied,Very satisfied,Neutral,Neutral,Neutral,Satisfied,Dissatisfied,Very satisfied,Neutral,Neutral,Neutral,Very important,Very important,Very important,Very important,Very important,Very important,Important,Important,Important,Very important,Important,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,0,NA,0.2,2.5,2.5,5,2.5,NA,5,5,4,2.5,2.5,4,4,NA,0.625,NA,"Open space (cafe, lounge)","Semi-enclosed space (nook, booth)","Open space (cafe, lounge)",Anywhere outside the office building,Desk or office,Desk or office
Org 5,NA,Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,1,NA,4,NA,2.5,5,2.5,NA,2.5,NA,NA,NA,NA,NA,NA,"Enclosed room (meeting room, phone room)",Home,"Semi-enclosed space (nook, booth)",NA,Anywhere outside the office building,NA
Org 5,NA,Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,1,NA,4,NA,2.5,5,2.5,NA,2.5,NA,NA,NA,NA,NA,NA,"Enclosed room (meeting room, phone room)",Home,"Semi-enclosed space (nook, booth)",NA,Elsewhere in the building,NA
Org 5,NA,Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0,NA,4,NA,2.5,4,2.5,NA,2.5,NA,NA,NA,NA,NA,NA,"Enclosed room (meeting room, phone room)","Enclosed room (meeting room, phone room)","Semi-enclosed space (nook, booth)",NA,"Open space (cafe, lounge)",NA
Org 5,NA,Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0,NA,4,NA,2.5,5,2.5,NA,2.5,NA,NA,NA,NA,NA,NA,"Enclosed room (meeting room, phone room)","Enclosed room (meeting room, phone room)","Enclosed room (meeting room, phone room)",NA,"Open space (cafe, lounge)",NA
Org 5,NA,Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Enclosed room (meeting room, phone room)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2.5,NA,4,NA,4,5,2.5,NA,1,NA,NA,NA,NA,NA,NA,"Enclosed room (meeting room, phone room)","Enclosed room (meeting room, phone room)","Semi-enclosed space (nook, booth)",NA,Anywhere outside the office building,NA
Org 5,NA,Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,0,NA,4,NA,2.5,4,2.5,NA,1,NA,NA,NA,NA,NA,NA,"Enclosed room (meeting room, phone room)",Home,"Semi-enclosed space (nook, booth)",NA,Anywhere outside the office building,NA
Org 5,NA,Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Semi-enclosed space (nook, booth)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2.5,NA,4,NA,2.5,5,4,NA,4,NA,NA,NA,NA,NA,NA,"Semi-enclosed space (nook, booth)",Home,"Open space (cafe, lounge)",NA,"Open space (cafe, lounge)",NA
Org 5,NA,Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0,NA,2.5,NA,2.5,4,2.5,NA,0,NA,NA,NA,NA,NA,NA,"Semi-enclosed space (nook, booth)","Enclosed room (meeting room, phone room)",Anywhere outside the office building,NA,Anywhere outside the office building,NA
Org 5,NA,Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0,NA,4,NA,2.5,5,2.5,NA,2.5,NA,NA,NA,NA,NA,NA,"Enclosed room (meeting room, phone room)","Enclosed room (meeting room, phone room)","Open space (cafe, lounge)",NA,Anywhere outside the office building,NA
Org 5,NA,Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Semi-enclosed space (nook, booth)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,4,NA,5,NA,5,4,4,NA,5,NA,NA,NA,NA,NA,NA,"Enclosed room (meeting room, phone room)","Enclosed room (meeting room, phone room)","Open space (cafe, lounge)",NA,"Open space (cafe, lounge)",NA
Org 5,NA,Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Semi-enclosed space (nook, booth)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2.5,NA,5,NA,4,5,4,NA,4,NA,NA,NA,NA,NA,NA,"Enclosed room (meeting room, phone room)","Enclosed room (meeting room, phone room)","Open space (cafe, lounge)",NA,"Open space (cafe, lounge)",NA
Org 5,NA,Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,0,NA,4,NA,2.5,4,2.5,NA,1,NA,NA,NA,NA,NA,NA,"Enclosed room (meeting room, phone room)",Home,"Semi-enclosed space (nook, booth)",NA,Anywhere outside the office building,NA
Org 5,NA,Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1,NA,2.5,NA,2.5,5,2.5,NA,2.5,NA,NA,NA,NA,NA,NA,"Enclosed room (meeting room, phone room)","Enclosed room (meeting room, phone room)","Semi-enclosed space (nook, booth)",NA,"Open space (cafe, lounge)",NA
Org 5,NA,Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Home,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unimportant,Very unimportant,Very unimportant,NA,Very unimportant,Very unimportant,Very unimportant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0,NA,0,NA,2.5,5,1,NA,0,NA,NA,NA,NA,NA,NA,"Enclosed room (meeting room, phone room)",Home,Home,NA,Anywhere outside the office building,NA
